Transcription Factor Binding Sites	Abs-Center-Pos	Involved-In-Regulation
ArgR-arg DNA-binding-site 83.5 bases upstream of hisJp	2426920.5	Regulation of hisJp by ArgR-L-arginine DNA-binding transcriptional dual regulator
MetJ-SAM DNA-binding-site 48.5 bases upstream of metBp	4128587.5d0	Regulation of metBp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine
LexA DNA-binding-site 11 bases downstream of uvrDp1	3997917	Regulation of uvrDp1 by DNA-binding transcriptional repressor LexA
CpxR-phosphorylated DNA-binding-site regulating rprAp		Regulation of rprAp by DNA-binding transcriptional dual regulator CpxR-phosphorylated
Nac DNA-binding-site regulating yhhQ	3609251	Regulation of yhhQ by DNA-binding transcriptional dual regulator Nac
NtrC phosphorylated dimer DNA-binding-site 87 bases upstream of glnKp	472469	Regulation of glnKp by NtrC phosphorylated dimer
CsgD DNA-binding-site 42.5 bases upstream of yccTp	1027879.5	Regulation of yccTp by DNA-binding transcriptional dual regulator CsgD
CpxR-phosphorylated DNA-binding-site 44 bases upstream of yebEp	1929776	Regulation of yebEp by DNA-binding transcriptional dual regulator CpxR-phosphorylated
PaaX DNA-binding-site 10.5 bases downstream of paaXp	1463518.5	Regulation of paaXp by DNA-binding transcriptional repressor PaaX
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 80 bases upstream of serAp2	3058629	Regulation of serAp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
Fis DNA-binding-site 66 bases upstream of proLp	2286141	Regulation of proLp by DNA-binding transcriptional dual regulator Fis
IHF DNA-binding-site 202 bases downstream of glpTQp	2352250	Regulation of glpTQp by DNA-binding transcriptional dual regulator IHF
McbR DNA-binding-site 88.5 bases upstream of yciGp	1316180.5	Regulation of yciGp by DNA-binding transcriptional dual regulator McbR
LexA DNA-binding-site 17.5 bases downstream of ydjMp	1810186.5	Regulation of ydjMp by DNA-binding transcriptional repressor LexA
Fis DNA-binding-site 49 bases downstream of glpTQp	2352403	Regulation of glpTQp by DNA-binding transcriptional dual regulator Fis // Regulation of glpAp by DNA-binding transcriptional dual regulator Fis
OmpR DNA-binding-site regulating speF-potE		Regulation of speF-potE by OmpR dimer
LrhA DNA-binding-site regulating lrhAp		Regulation of lrhAp by DNA-binding transcriptional dual regulator LrhA
Cra DNA-binding-site 196.5 bases upstream of csgDp3	1103540.5	Regulation of csgDp3 by DNA-binding transcriptional dual regulator Cra // Regulation of csgDp1 by DNA-binding transcriptional dual regulator Cra
AraC-arabinose DNA-binding-site 166 bases upstream of araFp3	1986404	Regulation of araFp3 by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator // Regulation of araFp1 by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator
DNA-binding transcriptional dual regulator Fur DNA-binding-site 65 bases upstream of ftnAp	1988617	Regulation of ftnAp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
DNA-binding transcriptional dual regulator Fur DNA-binding-site 16 bases downstream of entCp	624846	Regulation of entCp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
TyrR-tyr DNA-binding-site 41.5 bases upstream of tyrPp1	1989603.5	Regulation of tyrPp1 by DNA-binding transcriptional repressor TyrR-L-tyrosine
Lrp DNA-binding-site 149 bases upstream of osmYp2	4611004	Regulation of osmYp2 by DNA-binding transcriptional dual regulator Lrp // Regulation of osmYp by DNA-binding transcriptional dual regulator Lrp
H-NS DNA-binding-site 174.5 bases upstream of yjjPp	4603208.5	Regulation of yjjPp by DNA-binding transcriptional dual regulator H-NS // Regulation of yjjQp by DNA-binding transcriptional dual regulator H-NS
Ada DNA-binding-site 53.5 bases upstream of aidBp2	4414193.5	Regulation of aidBp2 by DNA-binding transcriptional dual regulator / DNA repair protein Ada // Regulation of aidBp1 by DNA-binding transcriptional dual regulator / DNA repair protein Ada
ArcA-Pasp54 DNA-binding-site regulating yfiF	2718678	Regulation of yfiF by DNA-binding transcriptional dual regulator ArcA-phosphorylated
Fis DNA-binding-site 68 bases upstream of adhEp	1298481	Regulation of adhEp by DNA-binding transcriptional dual regulator Fis // Regulation of adhEp1 by DNA-binding transcriptional dual regulator Fis
CytR DNA-binding-site 31.5 bases upstream of tsxp2	432122.5	Regulation of tsxp2 by DNA-binding transcriptional repressor CytR
SoxS DNA-binding-site 3 bases downstream of soxSp	4277421	Regulation of soxSp by DNA-binding transcriptional dual regulator SoxS
HipB DNA-binding-site regulating eutHA (BS0-8413)	2568178.5	Regulation of eutHA by antitoxin/DNA-binding transcriptional repressor HipB
IHF DNA-binding-site 140 bases downstream of proVp3	2804894	Regulation of proVp3 by DNA-binding transcriptional dual regulator IHF
Fis DNA-binding-site 101 bases upstream of rrsCp	3941415	Regulation of rrsCp by DNA-binding transcriptional dual regulator Fis // Regulation of rrsCp1 by DNA-binding transcriptional dual regulator Fis
Lrp DNA-binding-site 279 bases upstream of dadAp3	1237259	Regulation of dadAp3 by DNA-binding transcriptional dual regulator Lrp // Regulation of dadAp2 by DNA-binding transcriptional dual regulator Lrp // Regulation of dadAp1 by DNA-binding transcriptional dual regulator Lrp
AcrR DNA-binding-site 31.5 bases upstream of flhDp	1978426.5	Regulation of flhDp by DNA-binding transcriptional repressor AcrR
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 71.5 bases upstream of flhDp	1978466.5	Regulation of flhDp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
AraC-arabinose DNA-binding-site 44 bases upstream of araEp	2982252	Regulation of araEp by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator
ArcA-Pasp54 DNA-binding-site regulating gadEp3		Regulation of gadEp3 by DNA-binding transcriptional dual regulator ArcA-phosphorylated
RcdA DNA-binding-site 211.5 bases upstream of bluFp	1215717.5	Regulation of bluFp by DNA binding transcriptional dual regulator RcdA
H-NS DNA-binding-site 105.5 bases upstream of cspAp1	3719783.5	Regulation of cspAp1 by DNA-binding transcriptional dual regulator H-NS
Lrp DNA-binding-site regulating ssrSp1		Regulation of ssrSp1 by DNA-binding transcriptional dual regulator Lrp
FhlA-formate DNA-binding-site 129.5 bases upstream of fdhFp	4299536.5	Regulation of fdhFp by FhlA-formate DNA-binding transcriptional activator
MarA DNA-binding-site 43 bases upstream of waaYp	3801179	Regulation of waaYp by DNA-binding transcriptional dual regulator MarA
Fis DNA-binding-site 59 bases upstream of acsp	4287450	Regulation of acsp by DNA-binding transcriptional dual regulator Fis // Regulation of acsp2 by DNA-binding transcriptional dual regulator Fis
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 92.5 bases upstream of rhaBp	4097564.5d0	Regulation of rhaBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
RutR DNA-binding-site 20.5 bases upstream of nemRp	1726000.5	Regulation of nemRp by DNA-binding transcriptional dual regulator RutR
Fis DNA-binding-site 133 bases upstream of rrsAp	4035106	Regulation of rrsAp by DNA-binding transcriptional dual regulator Fis // Regulation of rrsAp1 by DNA-binding transcriptional dual regulator Fis
IHF DNA-binding-site 85 bases upstream of gltBp2	3354424	Regulation of gltBp2 by DNA-binding transcriptional dual regulator IHF // Regulation of gltBp by DNA-binding transcriptional dual regulator IHF
Fis DNA-binding-site 126 bases upstream of rrsDp	3429173	Regulation of rrsDp by DNA-binding transcriptional dual regulator Fis // Regulation of rrsDp1 by DNA-binding transcriptional dual regulator Fis
PhoP-Pasp51 DNA-binding-site 106 bases upstream of rutAp	1074132	Regulation of rutAp by DNA-binding transcriptional dual regulator PhoP-phosphorylated
FliZ DNA-binding-site regulating osmYp2		Regulation of osmYp2 by DNA-binding transcriptional regulator FliZ // Regulation of osmYp by DNA-binding transcriptional regulator FliZ
NhaR-Na+ DNA-binding-site regulating rrsEp2		Regulation of rrsEp2 by NhaR-Na+ DNA-binding transcriptional activator
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 48.5 bases upstream of azuCp	1988049.5	Regulation of azuCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
DNA-binding transcriptional activator AllS DNA-binding-site 94 bases upstream of allDp	546505	Regulation of allDp by AllS-allantoin DNA-binding transcriptional activator
NagC DNA-binding-site 58 bases downstream of glmUp2	3915269	Regulation of glmUp2 by DNA-binding transcriptional dual regulator NagC // Regulation of glmUp1 by DNA-binding transcriptional dual regulator NagC
Fnr DNA-binding-site 82.5 bases upstream of arcAp1	4640590.5	Regulation of arcAp1 by DNA-binding transcriptional dual regulator FNR // Regulation of arcAp3 by DNA-binding transcriptional dual regulator FNR
NarL-Pasp59 DNA-binding-site 160 bases upstream of narKp1	1277772	Regulation of narKp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 37.5 bases upstream of glpFp	4118198.5d0	Regulation of glpFp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
AgaR DNA-binding-site 22.5 bases downstream of agaSp	3281910.5	Regulation of agaSp by DNA-binding transcriptional repressor AgaR
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 92.5 bases upstream of cddp	2231726.5	Regulation of cddp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
Cra DNA-binding-site 7.5 bases downstream of hypFp3	2838098.5	Regulation of hypFp3 by DNA-binding transcriptional dual regulator Cra // Regulation of hypFp2 by DNA-binding transcriptional dual regulator Cra
DNA-binding transcriptional dual regulator Fur DNA-binding-site 12 bases upstream of yhhXp5	3581028	Regulation of yhhXp5 by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
Pasp56 RcsB DNA-binding-site 41.5 bases upstream of bdmp	1556381.5	Regulation of bdmp by DNA-binding transcriptional dual regulator RcsB-phosphorylated
RclR DNA-binding-site regulating rclAp		Regulation of rclAp by DNA-binding transcriptional activator RclR
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 94.5 bases upstream of ptsGp1	1157671.5d0	Regulation of ptsGp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
Nac DNA-binding-site regulating queD	2892077	Regulation of cysJ by DNA-binding transcriptional dual regulator Nac // Regulation of queD by DNA-binding transcriptional dual regulator Nac
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 36 bases upstream of csqRp	4074605	Regulation of csqRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of csqRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
GlaR DNA-binding-site regulating ydfI	1631381	Regulation of ydfI by DNA-binding transcriptional repressor GlaR
DnaA-ATP DNA-binding-site 81 bases upstream of uvrBp2	813381	Regulation of uvrBp2 by DnaA-ATP
ArcA-Pasp54 DNA-binding-site 6 bases upstream of betIp	329367	Regulation of betIp by DNA-binding transcriptional dual regulator ArcA-phosphorylated
OxyR DNA-binding-site 62 bases upstream of uofp	710891	Regulation of uofp by DNA-binding transcriptional dual regulator OxyR
GlaR DNA-binding-site regulating yidB	3877712	Regulation of yidB by DNA-binding transcriptional repressor GlaR
AlsR DNA-binding-site regulating alsRp2		Regulation of alsRp2 by DNA-binding transcriptional repressor AlsR
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 117.5 bases upstream of dsdXp	2477703.5d0	Regulation of dsdXp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
Lrp DNA-binding-site regulating livKp1		Regulation of livKp1 by DNA-binding transcriptional dual regulator Lrp
ExuR DNA-binding-site 159.5 bases upstream of uxuAp	4551358.5d0	Regulation of uxuAp by DNA-binding transcriptional repressor ExuR
GlpR DNA-binding-site 81.5 bases upstream of glpTQp	2352532.5	Regulation of glpTQp by DNA-binding transcriptional repressor GlpR // Regulation of glpAp by DNA-binding transcriptional repressor GlpR
Nac DNA-binding-site regulating yfbL	2385822	Regulation of yfbL by DNA-binding transcriptional dual regulator Nac // Regulation of yfbK by DNA-binding transcriptional dual regulator Nac
SlyA DNA-binding-site regulating rmfp		Regulation of rmfp by DNA-binding transcriptional dual regulator SlyA
H-NS DNA-binding-site regulating osmCp2		Regulation of osmCp2 by DNA-binding transcriptional dual regulator H-NS
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 106.5 bases upstream of rmfp	1015543.5	Regulation of rmfp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
TdcA DNA-binding-site 177 bases upstream of tdcAp	3267270	Regulation of tdcAp by DNA-binding transcriptional activator TdcA
PspF DNA-binding-site 87 bases upstream of pspGp	4262729	Regulation of pspGp by DNA-binding transcriptional dual regulator PspF
PhoB-Pasp53 DNA-binding-site 113 bases upstream of phoEp	260271	Regulation of phoEp by DNA-binding transcriptional dual regulator PhoB-phosphorylated
PurR-hypoxanthine DNA-binding-site 90.5 bases upstream of purAp	4404573.5	Regulation of purAp by DNA-binding transcriptional repressor PurR-hypoxanthine
H-NS DNA-binding-site regulating ssrSp		Regulation of ssrSp by DNA-binding transcriptional dual regulator H-NS // Regulation of ssrSp2 by DNA-binding transcriptional dual regulator H-NS
H-NS DNA-binding-site regulating lrpp		Regulation of lrpp by DNA-binding transcriptional dual regulator H-NS
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 180.5 bases upstream of xylFp	3730888.5	Regulation of xylFp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of xylAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
CpxR-phosphorylated DNA-binding-site 357.5 bases upstream of dsbCp	3039191.5	Regulation of dsbCp by DNA-binding transcriptional dual regulator CpxR-phosphorylated
DNA-binding transcriptional repressor IclR DNA-binding-site 122 bases upstream of aceBp	4215280	Regulation of aceBp by IclR-pyruvate DNA-binding transcriptional repressor
CytR DNA-binding-site 22 bases upstream of cytRp	4124531	Regulation of cytRp by DNA-binding transcriptional repressor CytR
Fnr DNA-binding-site regulating ompXp2		Regulation of ompXp2 by DNA-binding transcriptional dual regulator FNR
CaiF-L-carnitine DNA-binding-site 60.5 bases upstream of fixAp	42264.5	Regulation of fixAp by CaiF-L-carnitine DNA-binding Transcriptional Activator // Regulation of caiTp by CaiF-L-carnitine DNA-binding Transcriptional Activator
NarL-Pasp59 DNA-binding-site regulating fdhFp		Regulation of fdhFp by DNA-binding transcriptional dual regulator NarL-phosphorylated
ArcA-Pasp54 DNA-binding-site regulating gatYp		Regulation of gatYp by DNA-binding transcriptional dual regulator ArcA-phosphorylated
UvrY-Pasp54 DNA-binding-site regulating uhpTp		Regulation of uhpTp by DNA-binding transcriptional activator UvrY-phosphorylated
NfeR DNA-binding-site 7 bases upstream of nfeRp	3216746	Regulation of nfeRp by DNA-binding transcriptional repressor NfeR
AscG DNA-binding-site 18.5 bases upstream of prpRp	348489.5	Regulation of prpRp by DNA-binding transcriptional repressor AscG
IHF DNA-binding-site 54 bases downstream of ihfAp4	1795668	Regulation of ihfAp4 by DNA-binding transcriptional dual regulator IHF
NarL-Pasp59 DNA-binding-site 83 bases upstream of ogtp	1400367	Regulation of ogtp by DNA-binding transcriptional dual regulator NarL-phosphorylated
TyrR-tyr DNA-binding-site 45 bases upstream of aroLp1	406235	Regulation of aroLp1 by DNA-binding transcriptional repressor TyrR-L-tyrosine
Fnr DNA-binding-site regulating scpA-argK-scpBC		Regulation of scpA-argK-scpBC by DNA-binding transcriptional dual regulator FNR
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 97.5 bases upstream of ybiTp	855849.5	Regulation of ldtBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of ybiTp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of ybiTp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of ldtBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
